2026-04-05 17:47:44,860 | INFO | PID:21816 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 7
2026-04-05 17:47:45,513 | INFO | PID:22552 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 1
2026-04-05 17:47:45,513 | INFO | PID:22552 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 8
2026-04-05 17:47:45,541 | INFO | PID:23700 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 5
2026-04-05 17:47:45,542 | INFO | PID:23700 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 9
2026-04-05 17:47:45,590 | INFO | PID:11760 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 6
2026-04-05 17:47:45,590 | INFO | PID:11760 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 2
2026-04-05 17:47:47,535 | INFO | PID:21816 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 7
2026-04-05 17:47:47,537 | INFO | PID:21816 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 3
2026-04-05 17:47:48,655 | INFO | PID:22552 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 8
2026-04-05 17:47:48,656 | INFO | PID:22552 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 4
2026-04-05 17:47:48,659 | INFO | PID:23700 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 9
2026-04-05 17:47:48,753 | INFO | PID:11760 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 2
2026-04-05 17:47:50,246 | INFO | PID:21816 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 3
2026-04-05 17:47:51,377 | INFO | PID:22552 | src.workers.process_worker | Started ProcessWorker processing in heavy_task method for 4
2026-04-05 17:48:56,354 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 0
2026-04-05 17:48:56,354 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 0
2026-04-05 17:48:56,355 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,355 | INFO | PID:16584 | src.services.agent_service | Start AgentService invoke Method
2026-04-05 17:48:56,355 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,355 | INFO | PID:16584 | src.workers.process_worker | Started ProcessWorker executemethod
2026-04-05 17:48:56,364 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 1
2026-04-05 17:48:56,364 | INFO | PID:16584 | src.api.routes | Received request to process method in router: 1
